Time	DO	OURex
min	mg/l	mg/l/min
34.91198	8.32656585	-0.001038
34.93099	8.32926888	-0.001866
34.94974	8.33305477	-0.002442
34.9700533	8.33643357	-0.002694
34.9908867	8.33638691	-0.002772
35.0083333	8.32789159	-0.003906
35.02448	8.32908156	-0.005652
35.0388033	8.34523453	-0.0062217
35.0520833	8.35003464	-0.005574
35.0658867	8.34264905	-0.005298
35.0794283	8.34399058	-0.005382
35.0955733	8.34895201	-0.00477
35.11224	8.34074949	-0.004464
35.1291667	8.34740426	-0.004662
35.1458333	8.34825813	-0.004314
35.1635417	8.33993919	-0.004362
35.1789067	8.3370816	-0.005508
35.1955733	8.34207918	-0.00660168
35.21224	8.34576574	-0.0068178
35.2296883	8.34180733	-0.00685458
35.246875	8.34539328	-0.00714006
35.2627617	8.3440692	-0.00753822
35.2789067	8.33242492	-0.0088146
35.296615	8.33341019	-0.01072752
35.3125	8.34284769	-0.0117318
35.3291667	8.34488569	-0.01197882
35.3471367	8.34737911	-0.01214946
35.3635417	8.35200356	-0.01186464
35.3802083	8.35224144	-0.01140738
35.396355	8.34950079	-0.01124808
35.4138033	8.35048751	-0.0112851
35.43073	8.35509511	-0.0112917
35.4471367	8.36208002	-0.01060914
35.4632817	8.36311689	-0.00920748
35.48047	8.36636858	-0.00761622
35.496875	8.36748834	-0.005796
35.5140633	8.3597981	-0.004488
35.53073	8.35694797	-0.003978
35.5473967	8.36500955	-0.003102
35.5640633	8.36744809	-0.001554
35.58073	8.36106585	-0.0005958
35.5973967	8.35628852	-0.000846
35.6140633	8.358259	-0.001296
35.6328133	8.35882584	-0.001458
35.65573	8.35906431	-0.001644
35.6731783	8.36657982	-0.001284
35.6895833	8.3660371	-0.0005256
35.70573	8.36345251	-0.000126
35.7229167	8.37005297	0.0005442
35.7385417	8.38354922	0.00282
35.7541667	8.37390269	0.005322
35.771355	8.35689682	0.00608502
35.7890633	8.36137852	0.00620736
35.8052083	8.3630688	0.0064935
35.821095	8.36321532	0.00658758
35.83672	8.36773479	0.00746166
35.864845	8.36797602	0.0090867
35.88073	8.36047675	0.00999168
35.8973967	8.35893919	0.00995136
35.9135417	8.36320009	0.00986556
35.93073	8.36476141	0.00993126
35.9473967	8.36814796	0.0103569
35.9760417	8.36712329	0.01103076
35.99349	8.36752433	0.01152426
36.0101567	8.36886377	0.01195896
36.0257817	8.36602884	0.01207284
36.0414067	8.37121078	0.01214874
36.0580733	8.36816097	0.01213848
36.075	8.3637955	0.0112146
36.0927083	8.36653457	0.01022442
36.1080733	8.37004755	0.00994476
36.1226567	8.37382318	0.0100443
36.140365	8.37626925	0.01015992
36.1572917	8.37248837	0.01042896
36.17422	8.37122701	0.0108858
36.1916667	8.37558777	0.01143144
36.2075533	8.37229711	0.01174026
36.2226567	8.37332775	0.01187754
36.23724	8.37834655	0.01198668
36.252345	8.37051948	0.01173858
36.2692717	8.37319621	0.01138098
36.2846367	8.37625973	0.01138602
36.3010417	8.36938768	0.01053576
36.315105	8.37198154	0.00911322
36.3291667	8.37064098	0.0082821
36.346615	8.37121375	0.00760494
36.3632817	8.37612518	0.00729204
36.3796883	8.37722317	0.0074595
